Record ID,Property ID
315263176163,5133770
315290147262,429484184
315281138123,422585676
315277552069,5223660
315300381124,100806319
315272126954,45392482
315308574146,45324290
315298223596,45151265
315291925995,45393957
315277552068,52528138
315273950681,45318527
315263176162,134473525
315308574145,52720747
315305275847,45226029
315300381123,100813059
315279324626,52598411
315296331205,422585676
315291925994,52507854
315290147261,5250786
315288348134,45150812
315288348133,5217982
315277552067,52912199
315272126953,45195389
315296331204,5280025
315288348132,45240414
315305275846,45324424
315298223595,45391194
315263176161,45329629
315281138121,45393726
315268520390,5024259
315305275845,124174685
315300381122,45160138
315293748679,426093586
315281138122,129402493
315268520389,45376092
315305275844,45317996
315272126952,45144456
315263176160,45386123
315288348131,5133324
315273950680,45319044
315305275843,5337868
315291925992,45159119
315291925993,422603392
315277552064,425095250
315277552063,45322736
315263176159,428074143
315298223593,134168111
315290147260,5375782
315290147259,134167139
315279324624,45325556
315272126951,45144353
315263176158,45088883
318835594705,422321593
315308574144,5355893
315298223594,5348314
315288348130,45318931
315288348129,5412320
315279324625,452704463
315277552065,44008041
